Dataset,Criterion,Accuracy
Car Evaluation,Entropy,0.8631984585741811
Car Evaluation,Pruned (Entropy),0.9402697495183044
Car Evaluation,Bagged (Entropy),0.8747591522157996
Car Evaluation,Bagged (Pruned (Entropy)),0.9499036608863198
Car Evaluation,Gini Index,0.8631984585741811
Car Evaluation,Pruned (Gini Index),0.9460500963391136
Car Evaluation,Bagged (Gini Index),0.8728323699421965
Car Evaluation,Bagged (Pruned (Gini Index)),0.953757225433526
Car Evaluation,Gain Ratio,0.8747591522157996
Car Evaluation,Pruned (Gain Ratio),0.9441233140655106
Car Evaluation,Bagged (Gain Ratio),0.884393063583815
Car Evaluation,Bagged (Pruned (Gain Ratio)),0.953757225433526
Car Evaluation,Chi-Square,0.8747591522157996
Car Evaluation,Pruned (Chi-Square),0.9460500963391136
Car Evaluation,Bagged (Chi-Square),0.8786127167630058
Car Evaluation,Bagged (Pruned (Chi-Square)),0.953757225433526
Car Evaluation,Hellinger Distance,0.6897880539499036
Car Evaluation,Pruned (Hellinger Distance),0.6724470134874759
Car Evaluation,Bagged (Hellinger Distance),0.6897880539499036
Car Evaluation,Bagged (Pruned (Hellinger Distance)),0.6897880539499036
Car Evaluation,Twoing Rule,0.8631984585741811
Car Evaluation,Pruned (Twoing Rule),0.9460500963391136
Car Evaluation,Bagged (Twoing Rule),0.8651252408477842
Car Evaluation,Bagged (Pruned (Twoing Rule)),0.9518304431599229
Mushroom,Entropy,1.0
Mushroom,Pruned (Entropy),1.0
Mushroom,Bagged (Entropy),1.0
Mushroom,Bagged (Pruned (Entropy)),1.0
Mushroom,Gini Index,0.999409681227863
Mushroom,Pruned (Gini Index),1.0
Mushroom,Bagged (Gini Index),1.0
Mushroom,Bagged (Pruned (Gini Index)),1.0
Mushroom,Gain Ratio,0.9510035419126328
Mushroom,Pruned (Gain Ratio),1.0
Mushroom,Bagged (Gain Ratio),0.9510035419126328
Mushroom,Bagged (Pruned (Gain Ratio)),1.0
Mushroom,Chi-Square,0.999409681227863
Mushroom,Pruned (Chi-Square),1.0
Mushroom,Bagged (Chi-Square),1.0
Mushroom,Bagged (Pruned (Chi-Square)),1.0
Mushroom,Hellinger Distance,0.6221959858323495
Mushroom,Pruned (Hellinger Distance),0.8229043683589138
Mushroom,Bagged (Hellinger Distance),0.6245572609208973
Mushroom,Bagged (Pruned (Hellinger Distance)),0.9474616292798111
Mushroom,Twoing Rule,0.999409681227863
Mushroom,Pruned (Twoing Rule),1.0
Mushroom,Bagged (Twoing Rule),1.0
Mushroom,Bagged (Pruned (Twoing Rule)),1.0
Nursery,Entropy,0.8801440329218106
Nursery,Pruned (Entropy),0.9771090534979424
Nursery,Bagged (Entropy),0.8801440329218106
Nursery,Bagged (Pruned (Entropy)),0.9853395061728395
Nursery,Gini Index,0.8801440329218106
Nursery,Pruned (Gini Index),0.9750514403292181
Nursery,Bagged (Gini Index),0.8801440329218106
Nursery,Bagged (Pruned (Gini Index)),0.9840534979423868
Nursery,Gain Ratio,0.8760288065843621
Nursery,Pruned (Gain Ratio),0.9737654320987654
Nursery,Bagged (Gain Ratio),0.8760288065843621
Nursery,Bagged (Pruned (Gain Ratio)),0.9843106995884774
Nursery,Chi-Square,0.8801440329218106
Nursery,Pruned (Chi-Square),0.9750514403292181
Nursery,Bagged (Chi-Square),0.8801440329218106
Nursery,Bagged (Pruned (Chi-Square)),0.9863683127572016
Nursery,Hellinger Distance,0.32844650205761317
Nursery,Pruned (Hellinger Distance),0.3446502057613169
Nursery,Bagged (Hellinger Distance),0.3297325102880658
Nursery,Bagged (Pruned (Hellinger Distance)),0.39017489711934156
Nursery,Twoing Rule,0.8801440329218106
Nursery,Pruned (Twoing Rule),0.9750514403292181
Nursery,Bagged (Twoing Rule),0.8801440329218106
Nursery,Bagged (Pruned (Twoing Rule)),0.9868827160493827
Tic-Tac-Toe Endgame,Entropy,0.7986111111111112
Tic-Tac-Toe Endgame,Pruned (Entropy),0.8715277777777778
Tic-Tac-Toe Endgame,Bagged (Entropy),0.8854166666666666
Tic-Tac-Toe Endgame,Bagged (Pruned (Entropy)),0.9097222222222222
Tic-Tac-Toe Endgame,Gini Index,0.8090277777777778
Tic-Tac-Toe Endgame,Pruned (Gini Index),0.8611111111111112
Tic-Tac-Toe Endgame,Bagged (Gini Index),0.8576388888888888
Tic-Tac-Toe Endgame,Bagged (Pruned (Gini Index)),0.9166666666666666
Tic-Tac-Toe Endgame,Gain Ratio,0.7847222222222222
Tic-Tac-Toe Endgame,Pruned (Gain Ratio),0.8645833333333334
Tic-Tac-Toe Endgame,Bagged (Gain Ratio),0.8888888888888888
Tic-Tac-Toe Endgame,Bagged (Pruned (Gain Ratio)),0.9131944444444444
Tic-Tac-Toe Endgame,Chi-Square,0.8090277777777778
Tic-Tac-Toe Endgame,Pruned (Chi-Square),0.8611111111111112
Tic-Tac-Toe Endgame,Bagged (Chi-Square),0.8784722222222222
Tic-Tac-Toe Endgame,Bagged (Pruned (Chi-Square)),0.9131944444444444
Tic-Tac-Toe Endgame,Hellinger Distance,0.6666666666666666
Tic-Tac-Toe Endgame,Pruned (Hellinger Distance),0.6736111111111112
Tic-Tac-Toe Endgame,Bagged (Hellinger Distance),0.6701388888888888
Tic-Tac-Toe Endgame,Bagged (Pruned (Hellinger Distance)),0.6736111111111112
Tic-Tac-Toe Endgame,Twoing Rule,0.8090277777777778
Tic-Tac-Toe Endgame,Pruned (Twoing Rule),0.8611111111111112
Tic-Tac-Toe Endgame,Bagged (Twoing Rule),0.8645833333333334
Tic-Tac-Toe Endgame,Bagged (Pruned (Twoing Rule)),0.90625
Credit Approval,Entropy,0.8214285714285714
Credit Approval,Pruned (Entropy),0.8316326530612245
Credit Approval,Bagged (Entropy),0.8622448979591837
Credit Approval,Bagged (Pruned (Entropy)),0.8469387755102041
Credit Approval,Gini Index,0.8418367346938775
Credit Approval,Pruned (Gini Index),0.8520408163265306
Credit Approval,Bagged (Gini Index),0.8571428571428571
Credit Approval,Bagged (Pruned (Gini Index)),0.8520408163265306
Credit Approval,Gain Ratio,0.8520408163265306
Credit Approval,Pruned (Gain Ratio),0.8520408163265306
Credit Approval,Bagged (Gain Ratio),0.8571428571428571
Credit Approval,Bagged (Pruned (Gain Ratio)),0.8673469387755102
Credit Approval,Chi-Square,0.8418367346938775
Credit Approval,Pruned (Chi-Square),0.8520408163265306
Credit Approval,Bagged (Chi-Square),0.8571428571428571
Credit Approval,Bagged (Pruned (Chi-Square)),0.8622448979591837
Credit Approval,Hellinger Distance,0.5510204081632653
Credit Approval,Pruned (Hellinger Distance),0.5102040816326531
Credit Approval,Bagged (Hellinger Distance),0.5612244897959183
Credit Approval,Bagged (Pruned (Hellinger Distance)),0.5561224489795918
Credit Approval,Twoing Rule,0.8418367346938775
Credit Approval,Pruned (Twoing Rule),0.8520408163265306
Credit Approval,Bagged (Twoing Rule),0.8418367346938775
Credit Approval,Bagged (Pruned (Twoing Rule)),0.8571428571428571
Balance Scale,Entropy,0.776595744680851
Balance Scale,Pruned (Entropy),0.776595744680851
Balance Scale,Bagged (Entropy),0.8297872340425532
Balance Scale,Bagged (Pruned (Entropy)),0.824468085106383
Balance Scale,Gini Index,0.7340425531914894
Balance Scale,Pruned (Gini Index),0.7446808510638298
Balance Scale,Bagged (Gini Index),0.8351063829787234
Balance Scale,Bagged (Pruned (Gini Index)),0.8351063829787234
Balance Scale,Gain Ratio,0.7074468085106383
Balance Scale,Pruned (Gain Ratio),0.75
Balance Scale,Bagged (Gain Ratio),0.8351063829787234
Balance Scale,Bagged (Pruned (Gain Ratio)),0.8351063829787234
Balance Scale,Chi-Square,0.7393617021276596
Balance Scale,Pruned (Chi-Square),0.7340425531914894
Balance Scale,Bagged (Chi-Square),0.8191489361702128
Balance Scale,Bagged (Pruned (Chi-Square)),0.8457446808510638
Balance Scale,Hellinger Distance,0.6914893617021277
Balance Scale,Pruned (Hellinger Distance),0.7287234042553191
Balance Scale,Bagged (Hellinger Distance),0.8297872340425532
Balance Scale,Bagged (Pruned (Hellinger Distance)),0.8723404255319149
Balance Scale,Twoing Rule,0.7606382978723404
Balance Scale,Pruned (Twoing Rule),0.7446808510638298
Balance Scale,Bagged (Twoing Rule),0.8404255319148937
Balance Scale,Bagged (Pruned (Twoing Rule)),0.8297872340425532
Hayes-Roth,Entropy,0.6
Hayes-Roth,Pruned (Entropy),0.725
Hayes-Roth,Bagged (Entropy),0.65
Hayes-Roth,Bagged (Pruned (Entropy)),0.675
Hayes-Roth,Gini Index,0.6
Hayes-Roth,Pruned (Gini Index),0.8
Hayes-Roth,Bagged (Gini Index),0.675
Hayes-Roth,Bagged (Pruned (Gini Index)),0.7
Hayes-Roth,Gain Ratio,0.65
Hayes-Roth,Pruned (Gain Ratio),0.7
Hayes-Roth,Bagged (Gain Ratio),0.575
Hayes-Roth,Bagged (Pruned (Gain Ratio)),0.7
Hayes-Roth,Chi-Square,0.6
Hayes-Roth,Pruned (Chi-Square),0.8
Hayes-Roth,Bagged (Chi-Square),0.6
Hayes-Roth,Bagged (Pruned (Chi-Square)),0.725
Hayes-Roth,Hellinger Distance,0.4
Hayes-Roth,Pruned (Hellinger Distance),0.25
Hayes-Roth,Bagged (Hellinger Distance),0.25
