Dataset,Criterion,Accuracy
Car Evaluation,Entropy,0.8631984585741811
Car Evaluation,Bagged (Entropy),0.8921001926782274
Car Evaluation,Gini Index,0.8631984585741811
Car Evaluation,Bagged (Gini Index),0.8766859344894027
Car Evaluation,Gain Ratio,0.8747591522157996
Car Evaluation,Bagged (Gain Ratio),0.8709055876685935
Car Evaluation,Chi-Square,0.8747591522157996
Car Evaluation,Bagged (Chi-Square),0.8805394990366089
Car Evaluation,Hellinger Distance,0.6897880539499036
Car Evaluation,Bagged (Hellinger Distance),0.6897880539499036
Car Evaluation,Twoing Rule,0.8631984585741811
Car Evaluation,Bagged (Twoing Rule),0.8747591522157996
Mushroom,Entropy,0.9811320754716981
Mushroom,Bagged (Entropy),0.9897456931911403
Mushroom,Gini Index,0.9790812141099262
Mushroom,Bagged (Gini Index),0.9848236259228876
Mushroom,Gain Ratio,0.9639048400328137
Mushroom,Bagged (Gain Ratio),0.9639048400328137
Mushroom,Chi-Square,0.9790812141099262
Mushroom,Bagged (Chi-Square),0.9917965545529123
Mushroom,Hellinger Distance,0.5209187858900738
Mushroom,Bagged (Hellinger Distance),0.5418375717801477
Mushroom,Twoing Rule,0.9790812141099262
Mushroom,Bagged (Twoing Rule),0.9930270713699754
Nursery,Entropy,0.8801440329218106
Nursery,Bagged (Entropy),0.8801440329218106
Nursery,Gini Index,0.8801440329218106
Nursery,Bagged (Gini Index),0.8801440329218106
Nursery,Gain Ratio,0.8760288065843621
Nursery,Bagged (Gain Ratio),0.8760288065843621
Nursery,Chi-Square,0.8801440329218106
Nursery,Bagged (Chi-Square),0.8801440329218106
Nursery,Hellinger Distance,0.32844650205761317
Nursery,Bagged (Hellinger Distance),0.33487654320987653
Nursery,Twoing Rule,0.8801440329218106
Nursery,Bagged (Twoing Rule),0.8801440329218106
Tic-Tac-Toe Endgame,Entropy,0.7986111111111112
Tic-Tac-Toe Endgame,Bagged (Entropy),0.8819444444444444
Tic-Tac-Toe Endgame,Gini Index,0.8090277777777778
Tic-Tac-Toe Endgame,Bagged (Gini Index),0.8888888888888888
Tic-Tac-Toe Endgame,Gain Ratio,0.7847222222222222
Tic-Tac-Toe Endgame,Bagged (Gain Ratio),0.8715277777777778
Tic-Tac-Toe Endgame,Chi-Square,0.8090277777777778
Tic-Tac-Toe Endgame,Bagged (Chi-Square),0.875
Tic-Tac-Toe Endgame,Hellinger Distance,0.6666666666666666
Tic-Tac-Toe Endgame,Bagged (Hellinger Distance),0.6701388888888888
Tic-Tac-Toe Endgame,Twoing Rule,0.8090277777777778
Tic-Tac-Toe Endgame,Bagged (Twoing Rule),0.8854166666666666
Credit Approval,Entropy,0.8357487922705314
Credit Approval,Bagged (Entropy),0.8260869565217391
Credit Approval,Gini Index,0.8309178743961353
Credit Approval,Bagged (Gini Index),0.855072463768116
Credit Approval,Gain Ratio,0.855072463768116
Credit Approval,Bagged (Gain Ratio),0.8357487922705314
Credit Approval,Chi-Square,0.8309178743961353
Credit Approval,Bagged (Chi-Square),0.8599033816425121
Credit Approval,Hellinger Distance,0.5217391304347826
Credit Approval,Bagged (Hellinger Distance),0.5314009661835749
Credit Approval,Twoing Rule,0.8309178743961353
Credit Approval,Bagged (Twoing Rule),0.8454106280193237
Balance Scale,Entropy,0.776595744680851
Balance Scale,Bagged (Entropy),0.8297872340425532
Balance Scale,Gini Index,0.7340425531914894
Balance Scale,Bagged (Gini Index),0.824468085106383
Balance Scale,Gain Ratio,0.7074468085106383
Balance Scale,Bagged (Gain Ratio),0.824468085106383
Balance Scale,Chi-Square,0.7393617021276596
Balance Scale,Bagged (Chi-Square),0.8457446808510638
Balance Scale,Hellinger Distance,0.6914893617021277
Balance Scale,Bagged (Hellinger Distance),0.8297872340425532
Balance Scale,Twoing Rule,0.7606382978723404
Balance Scale,Bagged (Twoing Rule),0.8404255319148937
Hayes-Roth,Entropy,0.6
Hayes-Roth,Bagged (Entropy),0.65
Hayes-Roth,Gini Index,0.6
Hayes-Roth,Bagged (Gini Index),0.7
Hayes-Roth,Gain Ratio,0.65
Hayes-Roth,Bagged (Gain Ratio),0.525
Hayes-Roth,Chi-Square,0.6
Hayes-Roth,Bagged (Chi-Square),0.625
Hayes-Roth,Hellinger Distance,0.4
Hayes-Roth,Bagged (Hellinger Distance),0.275
Hayes-Roth,Twoing Rule,0.6
Hayes-Roth,Bagged (Twoing Rule),0.7
Congressional Voting Records,Entropy,0.9389312977099237
Congressional Voting Records,Bagged (Entropy),0.9694656488549618
Congressional Voting Records,Gini Index,0.916030534351145
Congressional Voting Records,Bagged (Gini Index),0.9770992366412213
Congressional Voting Records,Gain Ratio,0.9312977099236641
Congressional Voting Records,Bagged (Gain Ratio),0.9694656488549618
Congressional Voting Records,Chi-Square,0.9389312977099237
Congressional Voting Records,Bagged (Chi-Square),0.9694656488549618
Congressional Voting Records,Hellinger Distance,0.6564885496183206
Congressional Voting Records,Bagged (Hellinger Distance),0.648854961832061
Congressional Voting Records,Twoing Rule,0.916030534351145
Congressional Voting Records,Bagged (Twoing Rule),0.9770992366412213
Monks-1,Entropy,1.0
Monks-1,Bagged (Entropy),1.0
Monks-1,Gini Index,1.0
Monks-1,Bagged (Gini Index),1.0
Monks-1,Gain Ratio,1.0
Monks-1,Bagged (Gain Ratio),1.0
