Dataset,Criterion,Accuracy
Car Evaluation,Entropy,0.8631984585741811
Car Evaluation,Bagged (Entropy),0.8747591522157996
Car Evaluation,Bagged (Pruned (Entropy)),0.9556840077071291
Car Evaluation,Gini Index,0.8631984585741811
Car Evaluation,Bagged (Gini Index),0.8689788053949904
Car Evaluation,Bagged (Pruned (Gini Index)),0.9499036608863198
Car Evaluation,Gain Ratio,0.8747591522157996
Car Evaluation,Bagged (Gain Ratio),0.8747591522157996
Car Evaluation,Bagged (Pruned (Gain Ratio)),0.9576107899807321
Car Evaluation,Chi-Square,0.8747591522157996
Car Evaluation,Bagged (Chi-Square),0.8805394990366089
Car Evaluation,Bagged (Pruned (Chi-Square)),0.9441233140655106
Car Evaluation,Hellinger Distance,0.6897880539499036
Car Evaluation,Bagged (Hellinger Distance),0.6897880539499036
Car Evaluation,Bagged (Pruned (Hellinger Distance)),0.6878612716763006
Car Evaluation,Twoing Rule,0.8631984585741811
Car Evaluation,Bagged (Twoing Rule),0.8651252408477842
Car Evaluation,Bagged (Pruned (Twoing Rule)),0.9576107899807321
Mushroom,Entropy,1.0
Mushroom,Bagged (Entropy),1.0
Mushroom,Bagged (Pruned (Entropy)),1.0
Mushroom,Gini Index,0.999409681227863
Mushroom,Bagged (Gini Index),1.0
Mushroom,Bagged (Pruned (Gini Index)),1.0
Mushroom,Gain Ratio,0.9510035419126328
Mushroom,Bagged (Gain Ratio),0.9510035419126328
Mushroom,Bagged (Pruned (Gain Ratio)),1.0
Mushroom,Chi-Square,0.999409681227863
Mushroom,Bagged (Chi-Square),1.0
Mushroom,Bagged (Pruned (Chi-Square)),1.0
Mushroom,Hellinger Distance,0.6221959858323495
Mushroom,Bagged (Hellinger Distance),0.6245572609208973
Mushroom,Bagged (Pruned (Hellinger Distance)),0.9415584415584416
Mushroom,Twoing Rule,0.999409681227863
Mushroom,Bagged (Twoing Rule),1.0
Mushroom,Bagged (Pruned (Twoing Rule)),1.0
Nursery,Entropy,0.8801440329218106
Nursery,Bagged (Entropy),0.8770576131687243
Nursery,Bagged (Pruned (Entropy)),0.9866255144032922
Nursery,Gini Index,0.8801440329218106
Nursery,Bagged (Gini Index),0.8801440329218106
Nursery,Bagged (Pruned (Gini Index)),0.9850823045267489
Nursery,Gain Ratio,0.8760288065843621
Nursery,Bagged (Gain Ratio),0.8760288065843621
Nursery,Bagged (Pruned (Gain Ratio)),0.98559670781893
Nursery,Chi-Square,0.8801440329218106
Nursery,Bagged (Chi-Square),0.8801440329218106
Nursery,Bagged (Pruned (Chi-Square)),0.9858539094650206
Nursery,Hellinger Distance,0.32844650205761317
Nursery,Bagged (Hellinger Distance),0.3377057613168724
Nursery,Bagged (Pruned (Hellinger Distance)),0.39351851851851855
Nursery,Twoing Rule,0.8801440329218106
Nursery,Bagged (Twoing Rule),0.8801440329218106
Nursery,Bagged (Pruned (Twoing Rule)),0.9848251028806584
Tic-Tac-Toe Endgame,Entropy,0.7986111111111112
Tic-Tac-Toe Endgame,Bagged (Entropy),0.8854166666666666
Tic-Tac-Toe Endgame,Bagged (Pruned (Entropy)),0.9270833333333334
Tic-Tac-Toe Endgame,Gini Index,0.8090277777777778
Tic-Tac-Toe Endgame,Bagged (Gini Index),0.8715277777777778
