Dataset,Criterion,Accuracy
Car Evaluation,Entropy,0.8631984585741811
Car Evaluation,Pruned (Entropy),0.9402697495183044
Car Evaluation,Gini Index,0.8631984585741811
Car Evaluation,Pruned (Gini Index),0.9460500963391136
Car Evaluation,Gain Ratio,0.8747591522157996
Car Evaluation,Pruned (Gain Ratio),0.9441233140655106
Car Evaluation,Chi-Square,0.8747591522157996
Car Evaluation,Pruned (Chi-Square),0.9460500963391136
Car Evaluation,Hellinger Distance,0.6897880539499036
Car Evaluation,Pruned (Hellinger Distance),0.6724470134874759
Car Evaluation,Twoing Rule,0.8631984585741811
Car Evaluation,Pruned (Twoing Rule),0.9460500963391136
Mushroom,Entropy,1.0
Mushroom,Pruned (Entropy),1.0
Mushroom,Gini Index,0.999409681227863
Mushroom,Pruned (Gini Index),1.0
Mushroom,Gain Ratio,0.9510035419126328
Mushroom,Pruned (Gain Ratio),1.0
Mushroom,Chi-Square,0.999409681227863
Mushroom,Pruned (Chi-Square),1.0
Mushroom,Hellinger Distance,0.6221959858323495
Mushroom,Pruned (Hellinger Distance),0.8229043683589138
Mushroom,Twoing Rule,0.999409681227863
Mushroom,Pruned (Twoing Rule),1.0
Nursery,Entropy,0.8801440329218106
Nursery,Pruned (Entropy),0.9771090534979424
Nursery,Gini Index,0.8801440329218106
Nursery,Pruned (Gini Index),0.9750514403292181
Nursery,Gain Ratio,0.8760288065843621
Nursery,Pruned (Gain Ratio),0.9737654320987654
Nursery,Chi-Square,0.8801440329218106
Nursery,Pruned (Chi-Square),0.9750514403292181
Nursery,Hellinger Distance,0.32844650205761317
Nursery,Pruned (Hellinger Distance),0.3446502057613169
Nursery,Twoing Rule,0.8801440329218106
Nursery,Pruned (Twoing Rule),0.9750514403292181
Tic-Tac-Toe Endgame,Entropy,0.7986111111111112
Tic-Tac-Toe Endgame,Pruned (Entropy),0.8715277777777778
Tic-Tac-Toe Endgame,Gini Index,0.8090277777777778
Tic-Tac-Toe Endgame,Pruned (Gini Index),0.8611111111111112
Tic-Tac-Toe Endgame,Gain Ratio,0.7847222222222222
Tic-Tac-Toe Endgame,Pruned (Gain Ratio),0.8645833333333334
Tic-Tac-Toe Endgame,Chi-Square,0.8090277777777778
Tic-Tac-Toe Endgame,Pruned (Chi-Square),0.8611111111111112
Tic-Tac-Toe Endgame,Hellinger Distance,0.6666666666666666
Tic-Tac-Toe Endgame,Pruned (Hellinger Distance),0.6736111111111112
Tic-Tac-Toe Endgame,Twoing Rule,0.8090277777777778
Tic-Tac-Toe Endgame,Pruned (Twoing Rule),0.8611111111111112
Credit Approval,Entropy,0.8214285714285714
Credit Approval,Pruned (Entropy),0.8316326530612245
Credit Approval,Gini Index,0.8418367346938775
Credit Approval,Pruned (Gini Index),0.8520408163265306
Credit Approval,Gain Ratio,0.8520408163265306
Credit Approval,Pruned (Gain Ratio),0.8520408163265306
Credit Approval,Chi-Square,0.8418367346938775
Credit Approval,Pruned (Chi-Square),0.8520408163265306
Credit Approval,Hellinger Distance,0.5510204081632653
Credit Approval,Pruned (Hellinger Distance),0.5102040816326531
Credit Approval,Twoing Rule,0.8418367346938775
Credit Approval,Pruned (Twoing Rule),0.8520408163265306
Balance Scale,Entropy,0.776595744680851
Balance Scale,Pruned (Entropy),0.776595744680851
Balance Scale,Gini Index,0.7340425531914894
Balance Scale,Pruned (Gini Index),0.7446808510638298
Balance Scale,Gain Ratio,0.7074468085106383
Balance Scale,Pruned (Gain Ratio),0.75
Balance Scale,Chi-Square,0.7393617021276596
Balance Scale,Pruned (Chi-Square),0.7340425531914894
Balance Scale,Hellinger Distance,0.6914893617021277
Balance Scale,Pruned (Hellinger Distance),0.7287234042553191
Balance Scale,Twoing Rule,0.7606382978723404
Balance Scale,Pruned (Twoing Rule),0.7446808510638298
Hayes-Roth,Entropy,0.6
Hayes-Roth,Pruned (Entropy),0.725
Hayes-Roth,Gini Index,0.6
Hayes-Roth,Pruned (Gini Index),0.8
Hayes-Roth,Gain Ratio,0.65
Hayes-Roth,Pruned (Gain Ratio),0.7
Hayes-Roth,Chi-Square,0.6
Hayes-Roth,Pruned (Chi-Square),0.8
Hayes-Roth,Hellinger Distance,0.4
Hayes-Roth,Pruned (Hellinger Distance),0.25
Hayes-Roth,Twoing Rule,0.6
Hayes-Roth,Pruned (Twoing Rule),0.775
Congressional Voting Records,Entropy,0.9142857142857143
Congressional Voting Records,Pruned (Entropy),0.9714285714285714
Congressional Voting Records,Gini Index,0.9142857142857143
Congressional Voting Records,Pruned (Gini Index),0.9714285714285714
Congressional Voting Records,Gain Ratio,0.9142857142857143
Congressional Voting Records,Pruned (Gain Ratio),0.9714285714285714
Congressional Voting Records,Chi-Square,0.9142857142857143
Congressional Voting Records,Pruned (Chi-Square),0.9714285714285714
Congressional Voting Records,Hellinger Distance,0.7142857142857143
Congressional Voting Records,Pruned (Hellinger Distance),0.8285714285714286
Congressional Voting Records,Twoing Rule,0.9142857142857143
Congressional Voting Records,Pruned (Twoing Rule),0.9714285714285714
Chess (King-Rook vs King-Pawn),Entropy,0.7090719499478624
Chess (King-Rook vs King-Pawn),Pruned (Entropy),0.7090719499478624
Chess (King-Rook vs King-Pawn),Gini Index,0.7090719499478624
Chess (King-Rook vs King-Pawn),Pruned (Gini Index),0.7090719499478624
Chess (King-Rook vs King-Pawn),Gain Ratio,0.7101147028154328
Chess (King-Rook vs King-Pawn),Pruned (Gain Ratio),0.7142857142857143
Chess (King-Rook vs King-Pawn),Chi-Square,0.7090719499478624
Chess (King-Rook vs King-Pawn),Pruned (Chi-Square),0.7090719499478624
Chess (King-Rook vs King-Pawn),Hellinger Distance,0.64859228362878
Chess (King-Rook vs King-Pawn),Pruned (Hellinger Distance),0.7122002085505735
Chess (King-Rook vs King-Pawn),Twoing Rule,0.7090719499478624
Chess (King-Rook vs King-Pawn),Pruned (Twoing Rule),0.7090719499478624
